route,bound,service_type,orig_en,orig_tc,orig_sc,dest_en,dest_tc,dest_sc,data_timestamp
73B,O,1,CHUEN ON ROAD (NETHERSOLE HOSPITAL),全安路(那打素醫院),全安路(那打素医院),SHEUNG SHUI (CIRCULAR),上水(循環線),上水(循环线),
73B,O,2,LUEN WO HUI (UNION PLAZA),海聯廣場,海联广场,CHUEN ON ROAD (NETHERSOLE HOSPITAL),全安路(那打素醫院),全安路(那打素医院),
73B,O,3,CHUEN ON ROAD (NETHERSOLE HOSPITAL),全安路(那打素醫院),全安路(那打素医院),SHEUNG SHUI STATION,上水站,上水站,
73D,O,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),TAI PO (FU SHIN),大埔(富善),大埔(富善),
73D,I,1,KWONG FUK MARKET,廣福街市,广福街市,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),
73F,O,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),EDUCATION UNIVERSITY OF HONG KONG,香港教育大學,香港教育大学,
73F,I,1,EDUCATION UNIVERSITY OF HONG KONG,香港教育大學,香港教育大学,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),
73K,O,1,SHEUNG SHUI,上水,上水,MAN KAM TO(SAN UK LING),文錦渡(新屋嶺),文锦渡(新屋岭),
73K,I,1,MAN KAM TO(SAN UK LING),文錦渡(新屋嶺),文锦渡(新屋岭),SHEUNG SHUI,上水,上水,
73P,O,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),TAI MEI TUK,大美督,大美督,
73P,I,1,TAI MEI TUK,大美督,大美督,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),
73X,O,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),TAI PO (FU SHIN),大埔(富善),大埔(富善),
73X,O,2,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),TAI PO (FU SHIN),大埔(富善),大埔(富善),
73X,I,1,TAI PO (FU SHIN),大埔(富善),大埔(富善),TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),
74,O,1,FU TIP BUS TERMINUS,富蝶總站,富蝶总站,YAU TONG,油塘,油塘,
74,I,1,YAU TONG,油塘,油塘,FU TIP BUS TERMINUS,富蝶總站,富蝶总站,
74A,O,1,TAI PO (TAI WO),大埔(太和),大埔(太和),KAI YIP,啟業,启业,
74A,I,1,KAI YIP,啟業,启业,TAI PO (TAI WO),大埔(太和),大埔(太和),
74B,O,1,KOWLOON BAY,九龍灣,九龙湾,TAI PO CENTRAL,大埔中心,大埔中心,
74B,I,1,TAI PO CENTRAL,大埔中心,大埔中心,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74C,O,1,KAU LUNG HANG,九龍坑,九龙坑,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74D,O,1,KAU LUNG HANG,九龍坑,九龙坑,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74D,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,KAU LUNG HANG,九龍坑,九龙坑,
74E,O,1,TAI MEI TUK,大美督,大美督,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74E,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,TAI MEI TUK,大美督,大美督,
74F,O,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,EDUCATION UNIVERSITY OF HONG KONG,香港教育大學,香港教育大学,
74F,I,1,EDUCATION UNIVERSITY OF HONG KONG,香港教育大學,香港教育大学,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74K,O,1,TAI PO MARKET STATION,大埔墟站,大埔墟站,SAM MUN TSAI (CIRCULAR),三門仔(循環線),三门仔(循环线),
74K,O,2,TAI PO MARKET STATION,大埔墟站,大埔墟站,SAM MUN TSAI (CIRCULAR),三門仔(循環線),三门仔(循环线),
74P,O,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,TAI PO CENTRAL,大埔中心,大埔中心,
74P,I,1,TAI PO CENTRAL,大埔中心,大埔中心,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74P,I,2,HONG KONG SCIENCE PARK,香港科學園,香港科学园,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74R,O,1,TAI PO (TAI WO),大埔(太和),大埔(太和),PAK TAM CHUNG,北潭涌,北潭涌,
74R,I,1,PAK TAM CHUNG,北潭涌,北潭涌,TAI PO (TAI WO),大埔(太和),大埔(太和),
74S,O,1,PING TIN,平田,平田,WO HOP SHEK,和合石,和合石,
74S,I,1,WO HOP SHEK,和合石,和合石,PING TIN,平田,平田,
74X,O,1,TAI PO CENTRAL,大埔中心,大埔中心,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74X,O,2,WAN TAU TONG,運頭塘邨,运头塘邨,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74X,O,3,KWONG FUK ESTATE,廣福邨,广福邨,KWUN TONG FERRY,觀塘碼頭,观塘码头,
74X,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,TAI PO CENTRAL,大埔中心,大埔中心,
75K,O,1,TAI MEI TUK,大美督,大美督,TAI PO MARKET STATION,大埔墟站,大埔墟站,
75K,I,1,TAI PO MARKET STATION,大埔墟站,大埔墟站,TAI MEI TUK,大美督,大美督,
75P,O,1,TAI MEI TUK,大美督,大美督,TAI PO MARKET STATION,大埔墟站,大埔墟站,
75P,O,2,TAI MEI TUK,大美督,大美督,TAI PO MARKET STATION,大埔墟站,大埔墟站,
75X,O,1,TAI PO (FU SHIN),大埔(富善),大埔(富善),KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
75X,I,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,TAI PO (FU SHIN),大埔(富善),大埔(富善),
75X,I,2,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,TAI PO (FU SHIN),大埔(富善),大埔(富善),
76,O,1,YAU POK ROAD PUBLIC HOUSING (SOUTH),攸壆路簡約公屋 (南),攸壆路简约公屋 (南),SHEUNG SHUI STATION (CHOI YUEN ROAD) (CIRCULAR),上水站 (彩園路) (循環線),上水站 (彩园路) (循环线),
76K,O,1,SHEUNG SHUI (CHING HO),上水(清河),上水(清河),LONG PING ESTATE,朗屏邨,朗屏邨,
76K,O,2,FANLING (WAH MING),粉嶺(華明),粉岭(华明),LONG PING ESTATE,朗屏邨,朗屏邨,
76K,I,1,LONG PING ESTATE,朗屏邨,朗屏邨,SHEUNG SHUI (CHING HO),上水(清河),上水(清河),
77K,O,1,SHEUNG SHUI,上水,上水,YUEN LONG (FUNG CHEUNG ROAD),元朗(鳳翔路),元朗(凤翔路),
77K,O,2,SHEUNG SHUI,上水,上水,YUEN LONG (WEST),元朗(西),元朗(西),
77K,O,3,SHEUNG SHUI,上水,上水,PAT HEUNG ROAD,八鄉路,八乡路,
77K,I,1,YUEN LONG (FUNG CHEUNG ROAD),元朗(鳳翔路),元朗(凤翔路),SHEUNG SHUI,上水,上水,
78,O,1,SHA TAU KOK,沙頭角,沙头角,SHEUNG SHUI (TAI PING),上水(太平),上水(太平),
78A,O,1,QUEEN'S HILL,皇后山,皇后山,FANLING STATION (CIRCULAR),粉嶺站 (循環線),粉岭站 (循环线),
78A,O,3,QUEEN'S HILL,皇后山,皇后山,FANLING STATION (CIRCULAR),粉嶺站 (循環線) [不經山麗],粉岭站 (循环线) [不经山丽],
78A,O,5,SHAN LAI CRT,山麗苑,山丽苑,FANLING STATION,只往粉嶺名都,只往粉岭名都,
78A,O,6,FANLING CTR,粉嶺中心,粉岭中心,QUEEN'S HILL,皇后山,皇后山,
78B,O,1,QUEEN'S HILL,皇后山,皇后山,SHEUNG SHUI (CHOI YUEN),上水(彩園),上水(彩园),
78B,O,2,QUEEN'S HILL,皇后山,皇后山,SHEUNG SHUI (CHOI YUEN),上水(彩園),上水(彩园),
78B,I,1,SHEUNG SHUI (CHOI YUEN),上水(彩園),上水(彩园),QUEEN'S HILL,皇后山,皇后山,
78K,O,1,SHEUNG SHUI (TAI PING),上水(太平),上水(太平),SHA TAU KOK,沙頭角,沙头角,
78K,I,1,SHA TAU KOK,沙頭角,沙头角,SHEUNG SHUI (TAI PING),上水(太平),上水(太平),
78K,I,3,SHA TAU KOK,沙頭角,沙头角,FANLING (WAH MING),粉嶺(華明),粉岭(华明),
78S,O,1,SHEUNG SHUI,上水,上水,SHA TAU KOK,沙頭角,沙头角,
78S,I,1,SHA TAU KOK,沙頭角,沙头角,SHEUNG SHUI,上水,上水,
79K,O,1,SHEUNG SHUI,上水,上水,TA KWU LING(TSUNG YUEN HA),打鼓嶺(松園下),打鼓岭(松园下),
79K,O,2,FANLING STATION,粉嶺站,粉岭站,TA KWU LING(TSUNG YUEN HA),打鼓嶺(松園下),打鼓岭(松园下),
79K,I,1,TA KWU LING(TSUNG YUEN HA),打鼓嶺(松園下),打鼓岭(松园下),SHEUNG SHUI,上水,上水,
79K,I,3,TA KWU LING(TSUNG YUEN HA),打鼓嶺(松園下),打鼓岭(松园下),FANLING STATION,粉嶺站,粉岭站,
80,O,1,MEI LAM,美林,美林,KWUN TONG FERRY,觀塘碼頭,观塘码头,
80,O,2,MEI LAM,美林,美林,KWUN TONG FERRY,觀塘碼頭,观塘码头,
80,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,MEI LAM,美林,美林,
80A,O,1,MEI LAM,美林,美林,KWUN TONG FERRY,觀塘碼頭,观塘码头,
80K,O,1,SUN CHUI,新翠,新翠,YU CHUI COURT,愉翠苑,愉翠苑,
80K,I,1,YU CHUI COURT,愉翠苑,愉翠苑,SUN CHUI,新翠,新翠,
80P,O,1,HIN KENG,顯徑,显径,KWUN TONG FERRY,觀塘碼頭,观塘码头,
80X,O,1,CHUN SHEK,秦石,秦石,KWUN TONG FERRY,觀塘碼頭,观塘码头,
80X,O,2,JAT MIN CHUEN STREET,乙明邨街,乙明邨街,KWUN TONG FERRY,觀塘碼頭,观塘码头,
80X,O,3,SUN TIN WAI,新田圍,新田围,KWUN TONG FERRY,觀塘碼頭,观塘码头,
80X,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,CHUN SHEK,秦石,秦石,
81,O,1,WO CHE,禾輋,禾輋,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),
81,I,1,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),WO CHE,禾輋,禾輋,
81C,O,1,YIU ON,耀安,耀安,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),
81C,I,1,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),YIU ON,耀安,耀安,
81K,O,1,SUN TIN WAI,新田圍,新田围,SUI WO COURT,穗禾苑,穗禾苑,
81K,I,1,SUI WO COURT,穗禾苑,穗禾苑,SUN TIN WAI,新田圍,新田围,
81K,I,2,SUI WO COURT,穗禾苑,穗禾苑,SUN TIN WAI,新田圍,新田围,
81K,I,3,SUI WO COURT,穗禾苑,穗禾苑,SUN TIN WAI,新田圍,新田围,
81X,O,1,MEI TIN,美田,美田,MONG KOK (BUTE STREET),旺角 (弼街),旺角 (弼街),
82B,O,1,MEI TIN,美田,美田,TAI WAI STATION,大圍站,大围站,
82C,O,1,KWONG YUEN,廣源,广源,HONG KONG SCIENCE PARK,香港科學園,香港科学园,
82C,I,1,HONG KONG SCIENCE PARK,香港科學園,香港科学园,KWONG YUEN,廣源,广源,
82D,O,1,PAK SHEK KOK,白石角,白石角,TAI WAI STATION,大圍站,大围站,
82D,I,1,TAI WAI STATION,大圍站,大围站,PAK SHEK KOK,白石角,白石角,
82K,O,1,MEI TIN,美田,美田,YU CHUI COURT,愉翠苑,愉翠苑,
82K,I,1,YU CHUI COURT,愉翠苑,愉翠苑,MEI TIN,美田,美田,
82X,O,1,RAVANA GARDEN,濱景花園,滨景花园,WONG TAI SIN (CIRCULAR),黃大仙(循環線),黄大仙(循环线),
83A,O,1,SHUI CHUEN O,水泉澳,水泉澳,KWUN TONG FERRY,觀塘碼頭,观塘码头,
83K,O,1,WONG NAI TAU,黃泥頭,黄泥头,SHA TIN CENTRAL (CIRCULAR),沙田市中心(循環線),沙田市中心(循环线),
83K,O,2,SHEK MUN ESTATE,碩門邨,硕门邨,SHATIN CENTRAL,沙田巿中心,沙田巿中心,
83P,O,1,WONG NAI TAU,黃泥頭,黄泥头,WO CHE,禾輋,禾輋,
83S,O,1,WONG NAI TAU,黃泥頭,黄泥头,SHATIN CENTRAL,沙田巿中心,沙田巿中心,
83S,I,1,SHATIN CENTRAL,沙田巿中心,沙田巿中心,WONG NAI TAU,黃泥頭,黄泥头,
83X,O,1,SHUI CHUEN O,水泉澳,水泉澳,KWUN TONG FERRY,觀塘碼頭,观塘码头,
83X,O,2,WONG NAI TAU,黃泥頭,黄泥头,KWUN TONG FERRY,觀塘碼頭,观塘码头,
83X,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,SHUI CHUEN O,水泉澳,水泉澳,
83X,I,2,KWUN TONG FERRY,觀塘碼頭,观塘码头,WONG NAI TAU,黃泥頭,黄泥头,
84M,O,1,CHEVALIER GARDEN,富安花園,富安花园,LOK FU,樂富,乐富,
84M,O,2,CHEVALIER GARDEN,富安花園,富安花园,"LOK FU, KWONG YUEN & CHEVALIER GARDEN",黃大仙，樂富，廣源，富安花園,黄大仙，乐富，广源，富安花园,
84M,O,3,LOK FU,樂富,乐富,CHEVALIER GARDEN,富安花園,富安花园,
85,O,1,FO TAN CHUN YEUNG ESTATE,火炭駿洋邨,火炭骏洋邨,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
85,I,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,FO TAN CHUN YEUNG ESTATE,火炭駿洋邨,火炭骏洋邨,
85A,O,1,KWONG YUEN,廣源,广源,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
85A,I,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,KWONG YUEN,廣源,广源,
85B,O,1,CHUN SHEK,秦石,秦石,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
85K,O,1,HENG ON,恆安,恒安,SHATIN STATION,沙田站,沙田站,
85K,I,1,SHATIN STATION,沙田站,沙田站,HENG ON,恆安,恒安,
85M,O,1,KAM YING COURT,錦英苑,锦英苑,WONG TAI SIN (CIRCULAR),黃大仙(循環線),黄大仙(循环线),
85P,O,1,NAI CHUNG,泥涌,泥涌,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),
85P,I,1,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),NAI CHUNG,泥涌,泥涌,
85S,O,1,YIU ON,耀安,耀安,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),
85X,O,1,MA ON SHAN TOWN CENTRE,馬鞍山市中心,马鞍山市中心,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),
85X,I,1,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),MA ON SHAN TOWN CENTRE,馬鞍山市中心,马鞍山市中心,
86,O,1,WONG NAI TAU,黃泥頭,黄泥头,MEI FOO,美孚,美孚,
86,I,1,MEI FOO,美孚,美孚,WONG NAI TAU,黃泥頭,黄泥头,
86A,O,1,SHATIN WAI,沙田圍,沙田围,CHEUNG SHA WAN (KOM TSUN STREET),長沙灣(甘泉街),长沙湾(甘泉街),
86A,I,1,CHEUNG SHA WAN (KOM TSUN STREET),長沙灣(甘泉街),长沙湾(甘泉街),SHATIN WAI,沙田圍,沙田围,
86C,O,1,LEE ON,利安,利安,CHEUNG SHA WAN,長沙灣,长沙湾,
86C,I,1,CHEUNG SHA WAN,長沙灣,长沙湾,LEE ON,利安,利安,
86K,O,1,KAM YING COURT,錦英苑,锦英苑,SHATIN STATION,沙田站,沙田站,
86K,I,1,SHATIN STATION,沙田站,沙田站,KAM YING COURT,錦英苑,锦英苑,
86S,O,1,KAM YING COURT,錦英苑,锦英苑,SHATIN STATION,沙田站,沙田站,
86S,O,2,MA ON SHAN TOWN CENTRE,馬鞍山市中心,马鞍山市中心,SHATIN STATION,沙田站,沙田站,
86S,I,1,SHATIN STATION,沙田站,沙田站,KAM YING COURT,錦英苑,锦英苑,
87B,O,1,SUN TIN WAI,新田圍,新田围,ISLAND HARBOURVIEW,維港灣,维港湾,
87B,I,1,ISLAND HARBOURVIEW,維港灣,维港湾,SUN TIN WAI,新田圍,新田围,
87C,O,1,KAM YING COURT,錦英苑,锦英苑,HUNG HOM STATION,紅磡站,红磡站,
87C,I,1,HUNG HOM STATION,紅磡站,红磡站,KAM YING COURT,錦英苑,锦英苑,
87D,O,1,KAM YING COURT,錦英苑,锦英苑,HUNG HOM STATION,紅磡站,红磡站,
87D,O,3,MA ON SHAN TOWN CENTRE,馬鞍山市中心,马鞍山市中心,HUNG HOM STATION,紅磡站,红磡站,
87D,O,4,KAM YING COURT,錦英苑,锦英苑,HUNG HOM STATION,紅磡站,红磡站,
87D,I,1,HUNG HOM STATION,紅磡站,红磡站,KAM YING COURT,錦英苑,锦英苑,
87E,O,1,NAI CHUNG,泥涌,泥涌,TSIM SHA TSUI,尖沙咀,尖沙咀,
87E,I,1,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),NAI CHUNG,泥涌,泥涌,
87K,O,1,UNIVERSITY STATION,大學站,大学站,KAM YING COURT (CIRCULAR),錦英苑(循環線),锦英苑(循环线),
87K,O,2,UNIVERSITY STATION,大學站,大学站,KAM YING COURT (CIRCULAR),錦英苑(循環線),锦英苑(循环线),
87K,O,3,KAM YING COURT,錦英苑,锦英苑,UNIVERSITY STATION,大學站,大学站,
87K,O,4,MA ON SHAN TOWN CENTRE,馬鞍山市中心,马鞍山市中心,UNIVERSITY STATION,大學站,大学站,
87K,O,5,UNIVERSITY STATION,大學站,大学站,LEE ON,利安,利安,
87P,O,1,LEE ON,利安,利安,CHUNG ON,頌安,颂安,
87R,O,1,HONG KONG COLISEUM,紅磡香港體育館,红磡香港体育馆,WU KAI SHA STATION,烏溪沙站,乌溪沙站,
87S,O,1,UNIVERSITY STATION,大學站,大学站,KAM YING COURT (CIRCULAR),錦英苑 (循環線),锦英苑 (循环线),
87S,I,1,KAM YING COURT,錦英苑,锦英苑,UNIVERSITY STATION (CIRCULAR),大學站 (循環線),大学站 (循环线),
88,O,1,SAU MAU PING (CENTRAL),中秀茂坪,中秀茂坪,TAI WAI STATION,大圍站,大围站,
88,I,1,TAI WAI STATION,大圍站,大围站,SAU MAU PING (CENTRAL),中秀茂坪,中秀茂坪,
88K,O,1,HIN KENG,顯徑,显径,ROYAL ASCOT,駿景園,骏景园,
88K,I,1,ROYAL ASCOT,駿景園,骏景园,HIN KENG,顯徑,显径,
88X,O,1,SUI WO COURT,穗禾苑,穗禾苑,PING TIN,平田,平田,
88X,O,2,SUI WO COURT,穗禾苑,穗禾苑,PING TIN,平田,平田,
88X,I,1,PING TIN,平田,平田,SUI WO COURT,穗禾苑,穗禾苑,
88X,I,2,PING TIN,平田,平田,SUI WO COURT,穗禾苑,穗禾苑,
89,O,1,LEK YUEN,瀝源,沥源,KWUN TONG (TSUI PING NORTH ESTATE),觀塘(翠屏北邨),观塘(翠屏北邨),
89,I,1,KWUN TONG (TSUI PING NORTH ESTATE),觀塘(翠屏北邨),观塘(翠屏北邨),LEK YUEN,瀝源,沥源,
89B,O,1,SHATIN WAI,沙田圍,沙田围,NGAU TAU KOK,牛頭角,牛头角,
89B,I,1,NGAU TAU KOK,牛頭角,牛头角,SHATIN WAI,沙田圍,沙田围,
89C,O,1,HENG ON,恆安,恒安,KWUN TONG (TSUI PING ROAD),觀塘(翠屏道),观塘(翠屏道),
89C,O,2,HENG ON,恆安,恒安,KWUN TONG (TSUI PING ROAD),觀塘(翠屏道),观塘(翠屏道),
89C,I,1,KWUN TONG (TSUI PING ROAD),觀塘(翠屏道),观塘(翠屏道),HENG ON,恆安,恒安,
89D,O,1,WU KAI SHA STATION,烏溪沙站,乌溪沙站,LAM TIN STATION,藍田站,蓝田站,
89D,I,1,LAM TIN STATION,藍田站,蓝田站,WU KAI SHA STATION,烏溪沙站,乌溪沙站,
89D,I,2,LAM TIN STATION,藍田站,蓝田站,WU KAI SHA STATION,烏溪沙站,乌溪沙站,
89P,O,1,MA ON SHAN TOWN CENTRE,馬鞍山市中心,马鞍山市中心,LAM TIN STATION,藍田站,蓝田站,
89P,O,2,HANG HONG STREET,恒康街,恒康街,LAM TIN STATION,藍田站,蓝田站,
89P,O,3,MA ON SHAN TOWN CENTRE,馬鞍山市中心,马鞍山市中心,LAM TIN STATION,藍田站,蓝田站,
89S,O,1,SHUI CHUEN O,水泉澳,水泉澳,WU KAI SHA STATION,烏溪沙站,乌溪沙站,
89S,O,2,SHUI CHUEN O,水泉澳,水泉澳,WU KAI SHA STATION,烏溪沙站,乌溪沙站,
89S,I,1,WU KAI SHA STATION,烏溪沙站,乌溪沙站,SHUI CHUEN O,水泉澳,水泉澳,
89X,O,1,SHATIN STATION,沙田站,沙田站,KWUN TONG (TSUI PING ROAD),觀塘(翠屏道),观塘(翠屏道),
89X,I,1,KWUN TONG (TSUI PING ROAD),觀塘(翠屏道),观塘(翠屏道),SHATIN STATION,沙田站,沙田站,
90,O,1,SHEK MUN ESTATE,碩門邨,硕门邨,TSEUNG KWAN O (CHOI MING),將軍澳(彩明),将军澳(彩明),
90,I,1,TSEUNG KWAN O (CHOI MING),將軍澳(彩明),将军澳(彩明),SHEK MUN ESTATE,碩門邨,硕门邨,
91,O,1,CLEAR WATER BAY,清水灣,清水湾,DIAMOND HILL STATION,鑽石山站,钻石山站,
91,I,1,DIAMOND HILL STATION,鑽石山站,钻石山站,CLEAR WATER BAY,清水灣,清水湾,
91,I,2,CHOI HUNG BBI - PIK HOI HOUSE (M1),彩虹轉車站- 碧海樓 (M1),彩虹转车站- 碧海楼 (M1),CLEAR WATER BAY,清水灣,清水湾,
91B,O,1,HANG HAU STATION,坑口站,坑口站,HKUST,香港科技大學,香港科技大学,
91M,O,1,PO LAM,寶林,宝林,DIAMOND HILL STATION,鑽石山站,钻石山站,
91M,I,1,DIAMOND HILL STATION,鑽石山站,钻石山站,PO LAM,寶林,宝林,
91M,I,2,H.K.U.S.T (NORTH),香港科技大學(北),香港科技大学(北),PO LAM,寶林,宝林,
91P,O,1,DIAMOND HILL STATION,鑽石山站,钻石山站,H.K.U.S.T (NORTH),香港科技大學(北),香港科技大学(北),
91P,I,1,H.K.U.S.T. (SOUTH),香港科技大學(南),香港科技大学(南),PING SHEK / CHOI HUNG STATION,坪石 / 彩虹站,坪石 / 彩虹站,
91S,O,1,CLEAR WATER BAY,清水灣,清水湾,KWUN TONG,觀塘,观塘,
92,O,1,SAI KUNG,西貢,西贡,DIAMOND HILL STATION,鑽石山站,钻石山站,
92,O,2,SAI KUNG,西貢,西贡,DIAMOND HILL STATION,鑽石山站,钻石山站,
92,I,1,DIAMOND HILL STATION,鑽石山站,钻石山站,SAI KUNG,西貢,西贡,
92,I,2,DIAMOND HILL STATION,鑽石山站,钻石山站,SAI KUNG,西貢,西贡,
92R,O,1,SAI KUNG,西貢,西贡,STAR FERRY,尖沙咀碼頭,尖沙咀码头,
92R,I,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,SAI KUNG,西貢,西贡,
93A,O,1,PO LAM,寶林,宝林,KWUN TONG FERRY,觀塘碼頭,观塘码头,
93A,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,PO LAM,寶林,宝林,
93K,O,1,PO LAM,寶林,宝林,MONG KOK EAST STATION,旺角東站,旺角东站,
93K,I,1,MONG KOK EAST STATION,旺角東站,旺角东站,PO LAM,寶林,宝林,
93M,O,1,TSEUNG KWAN O (CHOI MING),將軍澳(彩明),将军澳(彩明),PO LAM,寶林,宝林,
93P,O,1,PO LAM,寶林,宝林,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
93P,I,1,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),PO LAM,寶林,宝林,
94,O,1,WONG SHEK PIER,黃石碼頭,黄石码头,SAI KUNG,西貢,西贡,
94,I,1,SAI KUNG,西貢,西贡,WONG SHEK PIER,黃石碼頭,黄石码头,
95,O,1,TSUI LAM,翠林,翠林,KOWLOON STATION,九龍站,九龙站,
95,I,1,KOWLOON STATION,九龍站,九龙站,TSUI LAM,翠林,翠林,
95M,O,1,TSUI LAM,翠林,翠林,KWUN TONG (ELEGANCE ROAD),觀塘(雅麗道),观塘(雅丽道),
95M,I,1,KWUN TONG (ELEGANCE ROAD),觀塘(雅麗道),观塘(雅丽道),TSUI LAM,翠林,翠林,
96,O,1,HONG SING GARDEN,康盛花園,康盛花园,TAI PO INDUSTRIAL ESTATE,大埔工業邨,大埔工业邨,
96,O,2,PARK CENTRAL,將軍澳中心,将军澳中心,TAI PO INDUSTRIAL ESTATE,大埔工業邨,大埔工业邨,
96,I,1,TAI PO INDUSTRIAL ESTATE,大埔工業邨,大埔工业邨,HONG SING GARDEN,康盛花園,康盛花园,
96R,O,1,DIAMOND HILL STATION,鑽石山站,钻石山站,WONG SHEK PIER,黃石碼頭,黄石码头,
96R,I,1,WONG SHEK PIER,黃石碼頭,黄石码头,DIAMOND HILL STATION,鑽石山站,钻石山站,
97,O,1,WU KAI SHA STATION,烏溪沙站,乌溪沙站,HONG SING GARDEN,康盛花園,康盛花园,
97,I,1,HONG SING GARDEN,康盛花園,康盛花园,WU KAI SHA STATION,烏溪沙站,乌溪沙站,
98,O,1,TSEUNG KWAN O INDUSTRIAL ESTATE,將軍澳工業邨,将军澳工业邨,NGAU TAU KOK STATION (CIRCULAR),牛頭角站(循環線),牛头角站(循环线),
98,O,3,TSEUNG KWAN O INDUSTRIAL ESTATE,將軍澳工業邨,将军澳工业邨,NGAU TAU KOK STATION,牛頭角站,牛头角站,
98A,O,1,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),NGAU TAU KOK STATION (CIRCULAR),牛頭角站(循環線),牛头角站(循环线),
98A,O,3,NGAU TAU KOK STATION,牛頭角站,牛头角站,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),
98B,O,1,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),KWUN TONG,觀塘,观塘,
98C,O,1,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),MEI FOO,美孚,美孚,
98C,I,1,MEI FOO,美孚,美孚,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),
98D,O,1,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
98D,O,2,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
98D,O,3,LOHAS PARK STATION,康城站,康城站,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
98D,O,4,HANG HAU (NORTH) (TSEUNG KWAN O HOSPITAL),坑口(北)(將軍澳醫院),坑口(北)(将军澳医院),TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
