kmb_route,citybus_route,area,kmb_orig_en,kmb_dest_en,citybus_orig_en,citybus_dest_en,match_type
182X,X9,central,CENTRAL (MACAU FERRY),YU CHUI COURT,Central (Star Ferry),Shek O,geographic_area
203C,110,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
203C,117,sham_shui_po,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Happy Valley (Lower),Sham Shui Po (Yen Chow Street),geographic_area
203C,173R,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Stanley,Tsim Sha Tsui (Mody Road),geographic_area
203C,20R,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
203C,50,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
203C,790,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
203C,796P,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
203C,796X,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
203C,973,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
203C,A25,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
203C,H1,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
203C,H2,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
203C,N21,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),geographic_area
203C,N21A,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),geographic_area
203C,N50,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
203C,N796,tsim_sha_tsui,SHAM SHUI PO (TAI HANG TUNG),TSIM SHA TSUI EAST (MODY ROAD),LOHAS Park,Mongkok (via Tsim Sha Tsui),geographic_area
203C,110,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
203C,117,sham_shui_po,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Happy Valley (Lower),Sham Shui Po (Yen Chow Street),geographic_area
203C,173R,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Stanley,Tsim Sha Tsui (Mody Road),geographic_area
203C,20R,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
203C,50,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
203C,790,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
203C,796P,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
203C,796X,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
203C,973,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
203C,A25,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
203C,H1,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
203C,H2,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
203C,N21,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),geographic_area
203C,N21A,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),geographic_area
203C,N50,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
203C,N796,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),LOHAS Park,Mongkok (via Tsim Sha Tsui),geographic_area
203C,110,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
203C,117,sham_shui_po,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Happy Valley (Lower),Sham Shui Po (Yen Chow Street),geographic_area
203C,173R,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Stanley,Tsim Sha Tsui (Mody Road),geographic_area
203C,20R,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
203C,50,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
203C,790,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
203C,796P,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
203C,796X,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
203C,973,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
203C,A25,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
203C,H1,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
203C,H2,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
203C,N21,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),geographic_area
203C,N21A,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),geographic_area
203C,N50,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
203C,N796,tsim_sha_tsui,TSIM SHA TSUI EAST (MODY ROAD),SHAM SHUI PO (TAI HANG TUNG),LOHAS Park,Mongkok (via Tsim Sha Tsui),geographic_area
203S,110,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
203S,173R,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Stanley,Tsim Sha Tsui (Mody Road),geographic_area
203S,20R,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
203S,50,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
203S,790,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
203S,796P,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
203S,796X,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
203S,973,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
203S,A25,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
203S,H1,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
203S,H2,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
203S,N21,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),geographic_area
203S,N21A,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),geographic_area
203S,N50,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
203S,N796,tsim_sha_tsui,CHAK ON,TSIM SHA TSUI EAST (MODY ROAD),LOHAS Park,Mongkok (via Tsim Sha Tsui),geographic_area
208,110,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
208,173R,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Stanley,Tsim Sha Tsui (Mody Road),geographic_area
208,20R,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
208,50,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
208,790,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
208,796P,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
208,796X,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
208,973,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
208,A25,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
208,H1,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
208,H2,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
208,N21,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),geographic_area
208,N21A,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),geographic_area
208,N50,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
208,N796,tsim_sha_tsui,BROADCAST DRIVE,TSIM SHA TSUI EAST,LOHAS Park,Mongkok (via Tsim Sha Tsui),geographic_area
208,110,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
208,173R,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Stanley,Tsim Sha Tsui (Mody Road),geographic_area
208,20R,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
208,50,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
208,790,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
208,796P,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
208,796X,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
208,973,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
208,A25,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
208,H1,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
208,H2,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
208,N21,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),geographic_area
208,N21A,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),geographic_area
208,N50,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
208,N796,tsim_sha_tsui,TSIM SHA TSUI EAST,BROADCAST DRIVE,LOHAS Park,Mongkok (via Tsim Sha Tsui),geographic_area
213B,101,kwun_tong,ON TAI,"TING FU STREET, KWUN TONG",Kennedy Town,Kwun Tong (Yue Man Square),geographic_area
213B,101R,kwun_tong,ON TAI,"TING FU STREET, KWUN TONG",Happy Valley Racecourse,Kwun Tong (Yue Man Square),geographic_area
213B,101X,kwun_tong,ON TAI,"TING FU STREET, KWUN TONG",Kennedy Town,Kwun Tong (Yue Man Square),geographic_area
213B,55,kwun_tong,ON TAI,"TING FU STREET, KWUN TONG",Tuen Mun (Ching Tin and Wo Tin),Kwun Tong Ferry Pier,geographic_area
213B,78C,kwun_tong,ON TAI,"TING FU STREET, KWUN TONG",Queen's Hill Fanling,Kai Tak (Via: Kwun Tong),geographic_area
213B,78P,kwun_tong,ON TAI,"TING FU STREET, KWUN TONG",Queen's Hill Fanling,Kwun Tong,geographic_area
213B,78X,kwun_tong,ON TAI,"TING FU STREET, KWUN TONG",Queen's Hill Fanling,Kai Tak (via: Kwun Tong),geographic_area
213D,1,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Macau Ferry),Happy Valley (Upper),geographic_area
213D,104R,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Ferry Piers),Mong Kok,geographic_area
213D,109,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Macau Ferry),Ho Man Tin Estate,geographic_area
213D,11,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Ferry Piers),Jardine's Lookout,geographic_area
213D,111,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Macau Ferry),Ping Shek Estate,geographic_area
213D,111P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Choi Fook Estate,Central (Macau Ferry),geographic_area
213D,115,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Macau Ferry),Kowloon City Ferry Pier,geographic_area
213D,115P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Laguna Verde,Central (Macau Ferry),geographic_area
213D,116,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),geographic_area
213D,12,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central Pier 3,Robinson Road / Park Road,geographic_area
213D,15,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central,The Peak,geographic_area
213D,15C,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Hong Kong Observation Wheel),Garden Road,geographic_area
213D,170,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Wah Fu (Central),Sha Tin Station,geographic_area
213D,18,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),North Point (Healthy Street Central),Kennedy Town (Belcher Bay) / Sheung Wan,geographic_area
213D,182,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
213D,182X,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
213D,18P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Kennedy Town (Belcher Bay),North Point (Healthy Street Central),geographic_area
213D,1P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Wong Nai Chung Road (Broadwood Road),Central,geographic_area
213D,2,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Grand Promenade,Central (Macau Ferry),geographic_area
213D,25,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Pier 3/5),Braemar Hill,geographic_area
213D,260,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Exchange Square),Stanley Market,geographic_area
213D,307,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Tai Po Centre,Central (Ferry Piers) / Sheung Wan,geographic_area
213D,37A,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Chi Fu Fa Yuen,Central,geographic_area
213D,3A,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Star Ferry),Felix Villas,geographic_area
213D,4,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Wong Chuk Hang / Wah Fu (South),Central,geographic_area
213D,41A,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Wah Fu (Central),North Point Ferry Pier,geographic_area
213D,4X,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Wah Fu (South),Central (Exchange Square),geographic_area
213D,511,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Tai Hang Drive,Central (Ferry Piers),geographic_area
213D,580,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),GO PARK Sai Sha,Sha Tin Central,geographic_area
213D,6,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Exchange Square),Stanley Market,geographic_area
213D,619,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Macau Ferry),Shun Lee Estate,geographic_area
213D,619P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Shun Lee Estate,Central (Macau Ferry),geographic_area
213D,619X,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Shun Lee Estate,Central (Macau Ferry),geographic_area
213D,621,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Laguna City,Central (Hong Kong Station),geographic_area
213D,629,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Star Ferry),Ocean Park (Main Entrance / Water World),geographic_area
213D,641,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Macau Ferry),Kai Tak (Kai Ching Estate),geographic_area
213D,66,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Exchange Square),Stanley Plaza (Ma Hang),geographic_area
213D,679,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
213D,680X,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),geographic_area
213D,681,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Hong Kong Station),Ma On Shan Town Centre,geographic_area
213D,690,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),geographic_area
213D,690P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Tseung Kwan O (Hong Sing Garden),Central (Exchange Square),geographic_area
213D,690S,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Exchange Square),Hang Hau (via: LOHAS Park),geographic_area
213D,6A,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Exchange Square),Stanley Fort (Gate),geographic_area
213D,6X,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central (Exchange Square),Stanley Market,geographic_area
213D,7,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Shek Pai Wan,Central (Ferry Piers),geographic_area
213D,70,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Wah Kwai (via: Aberdeen),Central (Exchange Square),geographic_area
213D,70P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Shek Pai Wan (via: Aberdeen),Central (Exchange Square),geographic_area
213D,71,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Wong Chuk Hang,Central (Rumsey Street),geographic_area
213D,71P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Sham Wan,Central (Ferry Piers),geographic_area
213D,720,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Grand Promenade,Central (Macau Ferry / Wing Wo Street),geographic_area
213D,720A,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Grand Promenade,Admiralty (Admiralty Centre)/ Central (Pedder Street),geographic_area
213D,720P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Taikoo Shing,Central (Wing Wo Street),geographic_area
213D,720X,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Grand Promenade,Central (Rumsey Street),geographic_area
213D,722,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Yiu Tung Estate,Central (Ferry Piers),geographic_area
213D,75,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Sham Wan,Central (Exchange Square),geographic_area
213D,780,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Chai Wan (East),Central (Ferry Piers),geographic_area
213D,780P,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Hing Wah (via Causeway Bay),Central (Ferry Piers),geographic_area
213D,788,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Siu Sai Wan (Island Resort),Central (Macau Ferry),geographic_area
213D,88R,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),City One Shatin,Central,geographic_area
213D,90,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Ap Lei Chau Estate,Central (Exchange Square),geographic_area
213D,90C,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Main Street Ap Lei Chau,Central (Jardine House),geographic_area
213D,91,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Ap Lei Chau Estate,Central (Ferry Piers),geographic_area
213D,94A,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Wah Fu (Central),Lei Tung Estate,geographic_area
213D,97,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Lei Tung Estate,Central (Exchange Square),geographic_area
213D,979,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
213D,H1,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
213D,H1S,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
213D,H2,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
213D,H2K,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
213D,H3,central,SAU MAU PING (CENTRAL),MONG KOK (CIRCULAR),Central Ferry - Hong Kong Observation Wheel,Stanley Village / Stanley Market,geographic_area
